# form	pos	lemma	sense	freq
ཁུ་ར			1
ཁུ་རྡུལ			129
ཁུ་ལུ			
ཁུ་ལེ	NOUN		22
ཁུ་སིམ་པོ			
ཁུག	VERB		3298
ཁུག་ཀྱོག			
ཁུག་ཁྲ			
ཁུག་པ	VERB		299
ཁུག་མ			35
ཁུག་འཁྱོག			
ཁུག་རྟ			11
ཁུག་རྣ			45
ཁུག་སྣ			25
ཁུགས་པ	VERB		69
ཁུང			1971
ཁུང་གཟོང			
ཁུང་དུ་ཉལ			
ཁུང་པོ			1
ཁུང་བུ	NOUN		871
ཁུང་སྦུབས			
ཁུངས			2669
ཁུངས་གཙིགས			
ཁུངས་དྲངས			
ཁུངས་ཕྱུང			
ཁུངས་མ			46
ཁུངས་མེད			31
ཁུངས་འཁྱོལ་པོ			
ཁུངས་འདེད			
ཁུངས་འཚོལ			
ཁུངས་ལ			
ཁུངས་ལུང			1
ཁུངས་སྐྱེལ			
